오디션 명,기획사 명,시작 나이,끝 나이,분야,성별,접수 마감일,상세정보,URL,
카카오엔터테인먼트 주니어 온라인 오디션 (주니어 6기 모집),카카오엔터테인먼트,2007,2012,"보컬,랩,댄스,연기,모델",모두,2022-01-16,"[카카오엔터테인먼트 주니어 6기 모집]

차세대 스타가 될 유망주!
카카오엔터테인먼트 주니어 6기 선발을 위한
카카오엔터테인먼트 주니어 온라인 오디션을 개최합니다

지원대상 : 11세(2012년생) ~ 16세(2007년생) / 성별, 국적 무관

지원기간 : 2022년 01월 05일(수) ~ 01월 16일(일)

지원분야 및 준비사항 (1분 이내, 최대 2개 분야 중복 지원 가능)
보컬/랩 : 자유곡 (무반주, 악기 연주 가능)
댄스 : 자유곡 (커버/창작/즉흥댄스 모두 가능)
연기 : 자유 연기
모델(패션/CF) : 자유포즈 3가지

지원 방법
Step1) 카카오톡채널 (@카카오엔터테인먼트프렌즈오디션) 추가 후 메시지 보내기 지원
지원 링크 -> http://pf.kakao.com/_xbxesfxl
지원양식 : ① 이름 ② 성별 ③ 생년월일 ④ 지원분야 ⑤ 본인 연락처 ⑥ 보호자 연락처 ⑦ 이메일 ⑧ 거주지역 ⑨ 특기 및 연예 관련 활동
첨부파일 : ① 자기소개 영상 ② 지원 분야 영상 ③ 본인 이미지 3장(사진 필터 사용 금지)
Step2) 지원양식 작성 완료 후, 채팅창 하단 탭에서 개인정보 수집/이용 항목 선택 후 ‘동의’ 입력

2차 오디션
1차 오디션 합격자에 한해 별도 2차 오디션 진행 (2022년 2월 중)
합격자 개별 통보 및 오디션 시간 추후 안내 예정

합격 특전
과목 : 노래, 댄스, 연기 등
기간 : 총 6개월 (2022년 3월~)
혜택 : 대한민국 최고의 강사진과 트레이닝 시스템 제공, 우수학생에게 카카오엔터테인먼트 및 산하 레이블과 연습생/전속계약의 기회 부여
비용 : 카카오엔터테인먼트 전액 지원

공지/문의 : 카카오엔터테인먼트 프렌즈 오디션 공식 SNS 채널",http://www.ohtalk.net/xe/index.php?_filter=search&mid=board_ZxMh03&search_target=extra_vars3&search_keyword=%EA%B8%B0%ED%9A%8D%EC%82%AC%EC%98%A4%EB%94%94%EC%85%98&page=12&document_srl=420464,141
2022 KOZ BOY GROUP Global Online Audition 하이브 레이블,KOZ 엔터테인먼트,2000,0,"보컬,랩,댄스,작사·작곡·프로듀서",남자,2022-01-31,"지원 기간 
2022. 01. 03 (월) ~ 2022. 01. 31 (월) 오후 10시 (KST)

지원분야 
보컬/랩 : 기존 곡, 창작곡 모두 가능 *반주 유무 무관
댄스 : 전신 촬영 필수
프로듀싱 : 장르 무제한
※ 지원 시 정면 사진 필수 첨부

지원 자격 
2000년 이후 출생 남자

지원 방법 
1. 연령에 맞는 ‘지원하기’ 클릭
2. 지원서 작성 및 첨부파일 접수
3. 지원 완료

합격자 발표 
합격자에 한하여 오디션 지원서에 기재한 연락망으로 1개월 이내 개별 연락",http://www.ohtalk.net/xe/index.php?_filter=search&mid=board_ZxMh03&search_target=extra_vars3&search_keyword=%EA%B8%B0%ED%9A%8D%EC%82%AC%EC%98%A4%EB%94%94%EC%85%98&page=12&document_srl=419725,142
YG DM AUDITION #6 랩,YG 엔터테인먼트,2003,2011,랩,모두,2022-01-28," 
YG DM AUDITION #6

?
[모집기간]
2022년 1월 3일 (월) - 1월 28일 (금)
?
[모집대상]
2003년 - 2011년생 남자,여자 (한국 거주자)
?
[모집분야]
랩
?
[지원사항]
1) 자유 선곡 가능 (자작랩 가능)
2) 무반주 진행
3) 솔로만 가능 (듀오 및 그룹 지원 불가)
?
[접수방법]
인스타그램 DM 접수
* 메시지 내 이름, 생년월일, 신장, 몸무게, 연락처 기재
* 자유곡 중 택 1하여 30초 -1분 이내 분량의 영상 전송
* 본인 확인이 가능하도록 얼굴이 보이게 정면에서 촬영
?
?
여러분의 많은 관심과 지원 부탁드립니다.

?
#YG
 #YGAUDITION
 #YGDMAUDITION
 #AUDITION
 #YG오디션
 #오디션",http://www.ohtalk.net/xe/index.php?_filter=search&mid=board_ZxMh03&search_target=extra_vars3&search_keyword=%EA%B8%B0%ED%9A%8D%EC%82%AC%EC%98%A4%EB%94%94%EC%85%98&page=12&document_srl=419716,143
BK Planet 2022년 1월 카카오채널 오디션,비케이플래닛,1997,2005,"보컬,랩,댄스,연기",모두,2022-02-10,"1월 테마: 당신의 ○○ 을 보여줘
?
1. 지원 기간: 2022/01/01~2022/02/10

2. 지원 자격: 1997년~2005년생 남녀

3. 지원 방법:?
1) 카카오톡을 열고 '비케이플래닛 오디션' 검색 후 친구 추가
2) '비케이플래닛 오디션' 채널 내 채팅하기 클릭 후, 영상 & 지원서 접수
?
4. 지원 내용:?
1) 지정곡: 자기소개 영상 + 1절 분량 자유곡 (1분 30초 내외)
2) 지원분야: 보컬, 댄스, 랩, 연기 (중복 가능)
3) 지원 시, 이름 / 생년월일 / 신장 / 체중 / 연락처 필수로 기재할 것
* 영상 촬영 시, 각 분야 진행 전 자기소개 영상 촬영 후 진행 요망
?
5. 합격자 발표: 2월 중, 개별 연락 진행",http://www.ohtalk.net/xe/index.php?_filter=search&mid=board_ZxMh03&search_target=extra_vars3&search_keyword=%EA%B8%B0%ED%9A%8D%EC%82%AC%EC%98%A4%EB%94%94%EC%85%98&page=12&document_srl=418763,144
YG 카카오채널 12월 오디션,YG 엔터테인먼트,2002,2010,"보컬,랩",모두,2021-12-31,"[YG 카카오채널 12월 오디션]
Open your voice! 너의 목소리를 들려줘
?
1. 지원기간 : 12/13(월)~12/31(금)
?
2. 지원자격 : 2002년~2010년생 한국 거주 남녀
?
3. 지원방법
?
1) 카카오톡에서 'YG오디션' 검색 후 친구 맺기
2) 'YG오디션' 채널 내 채팅하기 클릭 후 영상 및 지원서 접수
?
4. 지원내용
?
1) 지정곡 : 1분 이내의 자유곡
2) 지원분야 : 보컬 또는 랩 중 택1
3) 지원형태 : 솔로
4) 지원 시, 이름 / 생년월일 / 신장 / 체중 / 연락처 필수 기재
?
* 지원자 얼굴이 잘 보일 수 있도록 정면 촬영 요망
?
5. 합격자 발표 : 1월 초, 개별 연락

?
#YG #YGAUDITION #YGONLINEAUDITION #AUDITION #AUDITIONINFORMATION #YG오디션 #YG온라인오디션 #오디션 #오디션정보",http://www.ohtalk.net/xe/index.php?_filter=search&mid=board_ZxMh03&search_target=extra_vars3&search_keyword=%EA%B8%B0%ED%9A%8D%EC%82%AC%EC%98%A4%EB%94%94%EC%85%98&page=12&document_srl=415545,145
2021 CUBE FINAL AUDITION,큐브 엔터테인먼트,"20,022,006",0,"보컬,랩,댄스,기타",모두,2021-12-26,"2021 CUBE FINAL AUDITION

큐브의 차기 신인을 찾습니다 

 지원 자격 (국적 무관)
- 2002년 이후 출생 남성
- 2006년 이후 출생 여성

접수 기간
2021. 12. 6 ? 12. 26

합격자 혜택
큐브엔터테인먼트 연습생 기회 제공

결과 발표
합격자에 한하여 추후 개별 공지

접수 방법 
① 큐브 신인개발팀 카카오플러스 추가 (ID: 큐브신인개발팀 또는 cubeaudition)
② 지원 영상 전송
- 보컬, 랩: 1분 내외 분량 (무반주/자유곡, 상반신 촬영)
- 댄스: 1분 내외 분량 (자유곡, 전신 촬영)
- 비주얼: 30초 내외 분량의 자기 PR 영상 (상반신 촬영)
③ 필수 기재 내용 전송
- 이름, 생년월일, 키/몸무게, 거주지, 연락처, SNS ID
- 경력 (보컬 및 댄스 레슨 기간, 타 회사 연습생 기간 등)

문의
?큐브 신인개발팀 카카오플러스친구 (ID: 큐브신인개발팀 또는 cubeaudition)",http://www.ohtalk.net/xe/index.php?_filter=search&mid=board_ZxMh03&search_target=extra_vars3&search_keyword=%EA%B8%B0%ED%9A%8D%EC%82%AC%EC%98%A4%EB%94%94%EC%85%98&page=12&document_srl=414228,146
YG MONTHLY AUDITION (2021년 12월),YG 엔터테인먼트,2002,2010,"보컬,랩,댄스,기타",모두,2021-12-08,"2021.12 YG MONTHLY AUDITION
?
매월 진행되는 1:1 온라인 화상 오디션
?
지금부터 48시간내 오디션 지원 신청자 중 랜덤 선정된 100인에 한해
YG 오디션 담당자와 1:1 오디션을 진행합니다.
?
지금 바로 YG MONTHLY AUDITION에 지원해주세요!
?
[지원기간] : 12월 6일 12:00(KST) ~ 12월 8일 12:00(KST)
?
[화상오디션 일정] : 12월 15일
?
[모집대상] : 2002년~2010년생 남녀 누구나, 랜덤선정 100명(개별 이메일 발송)
?
[결과발표] : 12월 22일, 합격자에 한해 개별 이메일 발송
?
[오디션 가능 언어] : 한국어, 영어, 일본어, 중국어
?
[화상프로그램] : Zoom
?
[지원분야] : 노래, 랩, 댄스, 기타(비주얼, 끼, 연기 등) 중 택 1
보컬 : 가장 자신있는 노래 1분 30초 전후, 음원없이
랩 : 가장 자신있는 랩 1분 30초 전후, 음원없이
댄스 : 가장 자신있는 댄스 1분 전후
기타(비주얼, 끼, 연기 등) : 1분 전후로 자신의 매력 어필
[지원방법] :
1. QR코드 또는 하단 링크 통해 구글폼 접속하여 지원서 작성
(https://forms.gle/ygGjdNQpNLiUq6qy5)

?
2. 오디션 대상 선정 및 화상 오디션 안내 메일 확인(오디션 일시, Zoom 링크)
*대상 선정 및 오디션 안내 메일은 12월 10일까지 발송 예정
?
3. 화상 오디션 일시에 맞춰 Zoom 접속 및 오디션 진행
?
* 주의사항
장소 제한은 없으나 얼굴이 잘 보이는 밝은 곳에서 오디션을 진행해야 합니다.
댄스 지원자의 경우 전신이 다 보여야 합니다.
오디션 참여후 6개월간 YG MONTHLY AUDITION에 재지원은 불가합니다.

?
#YG
 #AUDITION
 #YGAUDITION
 #오디션
 #YG오디션
 #YG?秀
 #YGオ?ディション
 #YG먼슬리오디션
 #YGMONTHLYAUDITION
 #MONTHLYAUDITION",http://www.ohtalk.net/xe/index.php?_filter=search&mid=board_ZxMh03&search_target=extra_vars3&search_keyword=%EA%B8%B0%ED%9A%8D%EC%82%AC%EC%98%A4%EB%94%94%EC%85%98&page=12&document_srl=414224,147
ADOR 글로벌 오디션(하이브 레이블 민희진 대표이사),ADOR,2002,2010,"보컬,랩,댄스,기타",모두,2022-01-10,"지원 자격
2002년 ~ 2010년 출생자
성별, 국적 제한 없음

접수 기간
2021년 12월 1일 (수) ~ 2022년 1월 10일 (월)

지원 방법
Step 1.
하단 링크 클릭 
https://docs.google.com/forms/d/e/1FAIpQLSdCeu1WM1vD1ec1_TzLJuCD-xY931rno7gkYd64b7QLTunhBQ/viewform
Step 2.
지원서 작성 및 첨부파일 접수
Step 3.
지원 완료

합격 통보
합격자에 한하여 오디션 접수 시 기재된 연락처로 개별 통보 드립니다.

지원 분야

보컬/랩
자기소개 영상 + 상반신이 보이는 무반주 보컬/랩 영상 1개 + 본인 정면 얼굴/전신 사진 2개

춤
자기소개 영상 + 전신이 보이는 춤 영상 1개 + 본인 정면 얼굴/전신 사진 2개

자유 형식(연기/모델/악기연주/Vlog 등)
자기소개 영상 + 상반신이 보이는 자유 형식 영상 1개 + 본인 정면 얼굴/전신 사진 2개


*오디션 지원 시 2가지 (영상/사진) 첨부 파일을 모두 제출해주세요.
*자기소개 영상은 본인의 얼굴이 정면에서 정확하게 확인되는 상반신 촬영 영상을 제출해주세요.
*본인 얼굴/전신 정면 사진은 포토샵과 필터를 사용하지 않은 사진을 제출해주세요.
*지원 분야별 영상은 1분 이상 분량으로 필수 제출이며 포커스가 맞지 않거나 음질이 좋지 않은 영상은 심사에서 제외될 수 있습니다.",http://www.ohtalk.net/xe/index.php?_filter=search&mid=board_ZxMh03&search_target=extra_vars3&search_keyword=%EA%B8%B0%ED%9A%8D%EC%82%AC%EC%98%A4%EB%94%94%EC%85%98&page=12&document_srl=413539,148
YG DM AUDITION #5,YG 엔터테인먼트,2002,2010,댄스,모두,2021-12-31,"[YG AUDITION] YG DM AUDITION #5

[모집기간]
2021년 12월 1일 (수) - 12월 31일 (금)
?
[모집대상]
2002년 - 2010년생 남자, 여자 (한국 거주자)
?
[모집분야]
댄스

[자유곡]
1) YG 아티스트 곡 및 YGX 안무곡 중 자유 선택 가능 (공식 채널 내 업로드된 곡 중 선택, 하기 링크 참고)
* YG 엔터테인먼트 유튜브 : https://www.youtube.com/c/YGEntertainment
* X ACADEMY 유튜브 : https://youtube.com/c/XACADEMY_OFFICIAL
2) 반드시 음원 사용
3) 솔로만 가능 (듀오 및 그룹 지원 불가)

[접수방법]
인스타그램 DM 접수
* 메시지 내 이름, 생년월일, 신장, 몸무게, 연락처 기재
* 자유곡 중 택1하여 30초 - 1분 이내 분량의 영상 전송
* 본인 확인이 가능하도록 정면에서 전신 촬영

?
여러분의 많은 관심과 지원 부탁드립니다.
?
#YG #YGAUDITION #YGDMAUDITION #AUDITION #YG오디션 #오디션",http://www.ohtalk.net/xe/index.php?_filter=search&mid=board_ZxMh03&search_target=extra_vars3&search_keyword=%EA%B8%B0%ED%9A%8D%EC%82%AC%EC%98%A4%EB%94%94%EC%85%98&page=12&document_srl=413527,149
2021 TOP MEDIA RECOMMENDED AUDITION,TOP MEDIA,2004,2011,"보컬,랩,댄스",모두,2021-12-31," 
2021 TOP MEDIA RECOMMENDED AUDITION
자신을 포함한 주변사람들의 넘치는 끼를 소개해주세요!

접수기간
2021년 11월 15일 (월) ~ 2021년 12월 31일 (금)

지원대상
2004년 이후 2011년 이전 출생 남녀 누구든지 가능

지원방법
카카오톡 채널 [티오피미디어 오디션] 로 메시지를 전송해주세요!

*필수 사항*
본인 추천 시)
- 이름 / 나이 / 키 / 몸무게 / 사진 2장 (무보정 얼굴 정면 사진 필수)
보컬, 랩, 댄스 중 선택하여 1분 이내의 영상
친구 추천 시)
- 추천하고 싶은 친구의 동의를 얻고 참여해주세요!
- 추천하고 싶은 친구의 이름/ 나이/ SNS 계정 주소
*SNS 계정이 없을 경우 사진 2장을 첨부하여 전송해주세요!

*오디션 지원 이외의 1:1 채팅은 불가 합니다.
*오디션은 합격자에 한하여 개별 연락 드립니다.
*오디션 일정은 상황에 따라 변동될 수 있고, 합격자가 없을 수도 있습니다.


2021 TOP MEDIA RECOMMENDED AUDITION
Recommend the talents of people around you, including yourself!

Application deadline
November 15th, 2021 (Mon) ~ December 31st, 2021 (Fri)

Qualification
Anyone born from 2004 ~ 2011 can participate.

How to apply.
Please send a message to Kakao Talk channel [@top_audition
] !

*Must-have*
Your Recommendation
-Name / Age / Height / Weight
-2 photographs (no photoshop / must require front face photo)
-Choose between vocal, rap, dance and make 1 minute video

Friend Recommendation
-Earn your friend’s agreement
-Your friend’s Name / Age / SNS account address
- If your friend has no SNS account, please send 2 photos of your friend

* 1:1 chat is not allowed except audition support.
* People who pass the final audition will be notified individually.
* The audition schedule may change depending on the situation, And there may be no successful candidate.



#티오피미디어
 #추천오디션
 #친구추천
 #오디션
 #캐스팅
 #연습생
 #신인개발팀
 #가수지망생
 #아이돌지망생
 #가수지망생
 #동아리
 #초등학생
 #중학생
 #2021_TOPMEDIA_RECOMMENDED_AUDITOIN
 #AUDITION
 #TOPMEDIA",http://www.ohtalk.net/xe/index.php?_filter=search&mid=board_ZxMh03&search_target=extra_vars3&search_keyword=%EA%B8%B0%ED%9A%8D%EC%82%AC%EC%98%A4%EB%94%94%EC%85%98&page=12&document_srl=411919,150
YG 카카오채널 11월 오디션,YG 엔터테인먼트,2002,2010,"보컬,랩,댄스",모두,2021-11-30,"[YG 카카오채널 11월 오디션]
With YG Music! YG 음악을 즐기자!
?
1. 지원기간 : 11/10(수)~11/30(화)
?
2. 지원자격 : 2002년~2010년생 한국 거주 남녀
?
3. 지원방법
?
1) 카카오톡에서 'YG오디션' 검색 후 친구 맺기
2) 'YG오디션' 채널 내 채팅하기 클릭 후 영상 및 지원서 접수
?
4. 지원내용
?
1) 지정곡 : YG 아티스트의 모든 곡
2) 지원분야 : 보컬, 랩, 댄스 중 택 1
3) 지원형태 : 솔로, 유닛, 단체 팀 가능 (중복 지원 불가)
4) 지원 시, 이름 / 생년월일 / 신장 / 체중 / 연락처 필수 기재
?
* 유닛, 단체의 경우, 심사는 개별 진행
* 지원자 얼굴이 잘 보일 수 있도록 정면 촬영 요망
?
5. 합격자 발표 : 12월 초, 개별 연락


?
#YG
 #YGAUDITION
 #YGONLINEAUDITION
 #AUDITION
 #AUDITIONINFORMATION
 #YG오디션
 #YG온라인오디션
 #오디션
 #오디션정보",http://www.ohtalk.net/xe/index.php?_filter=search&mid=board_ZxMh03&search_target=extra_vars3&search_keyword=%EA%B8%B0%ED%9A%8D%EC%82%AC%EC%98%A4%EB%94%94%EC%85%98&page=13&document_srl=409642,151
YG MONTHLY AUDITION (2021년 11월),YG 엔터테인먼트,2002,2010,"보컬,랩,댄스,기타",모두,2021-11-10,"매월 진행되는 1:1 온라인 화상 오디션 

지금부터 48시간내 오디션 지원 신청자 중 랜덤 선정된 100인에 한해
YG 오디션 담당자와 1:1 오디션을 진행합니다.  

지금 바로 YG MONTHLY AUDITION에 지원해주세요! 

[지원기간] : 11월 8일 12:00(KST) ~ 11월 10일 12:00(KST)

[화상오디션 일시] : 11월 17일 11:00(KST)

[모집대상] : 2002년~2010년생 남녀 누구나, 랜덤선정 100명(개별 이메일 발송)

[결과발표] : 11월 30일, 합격자에 한해 개별 이메일 발송 

[오디션 가능 언어] : 한국어, 영어, 일본어, 중국어

[화상프로그램] : Zoom 

[지원분야] : 노래, 랩, 댄스, 기타(비주얼, 끼, 연기 등) 중 택 1
 보컬 : 가장 자신있는 노래 1분 30초 전후, 음원없이
 랩 : 가장 자신있는 랩 1분 30초 전후, 음원없이
 댄스 : 가장 자신있는 댄스 1분 전후
 기타(비주얼, 끼, 연기 등) : 1분 전후로 자신의 매력 어필 

[지원방법] :
 1. QR코드 또는 하단 링크 통해 구글폼 접속하여 지원서 작성 
    (https://forms.gle/a5AxqKzdrn37dQX66
)
   2. 오디션 대상 선정 및 화상 오디션 안내 메일 확인(오디션 일시, Zoom 링크)  
  *대상 선정 및 오디션 안내 메일은 11월 12일까지 발송 예정
   3. 화상 오디션 일시에 맞춰 Zoom 접속 및 오디션 진행
    * 주의사항
 장소 제한은 없으나 얼굴이 잘 보이는 밝은 곳에서 오디션을 진행해야 합니다. 
 댄스 지원자의 경우 전신이 다 보여야 합니다. 
 오디션 참여후 6개월간 YG MONTHLY AUDITION에 재지원은 불가합니다. ",http://www.ohtalk.net/xe/index.php?_filter=search&mid=board_ZxMh03&search_target=extra_vars3&search_keyword=%EA%B8%B0%ED%9A%8D%EC%82%AC%EC%98%A4%EB%94%94%EC%85%98&page=13&document_srl=408982,152
안테나 온라인 오디션(Antenna Audition),안테나,1999,0,보컬,모두,2021-11-19,"[ 안테나 온라인 오디션 안내 ]

▶? 지원 분야 : 보컬
?
▶? 지원 기간 : 2021. 10. 26. (화) ~ 2021. 11. 19. (금)
?
▶? 지원 자격 : 1999년 이후 출생자 (만 22세 이하)
?
▶? 지원 방법 : 안테나 오디션 이메일 audition@antenna.co.kr 로 지원 양식에 맞춰 이메일 발송

▶? 지원 양식
1. 이메일 제목 : 지원 분야 / 이름 / 성별 / 생년월일 6자리
???Ex. 보컬 / 유희열 / 남 / 001026
?
2. 이메일 내용 (모든 항목 필수)
?1) 지원 분야 / 이름 / 성별 / 국적 / 생년월일 6자리 / 연락처

2) 프로필 사진 첨부 (총 2장)
- 정면 상체 사진 1장 + 전신 사진 1장
- 포토샵 등으로 보정된 사진, 저화질 사진 및 신체 일부가 가려진 사진 불가

3) 가창 영상 첨부
- 2분 이상의 가창 영상 2곡 (장르 무관)
- 지원자가 가능한 진성 최고음이 포함된 곡 1곡 이상 필수

- 지원자의 얼굴이 보이도록 촬영
?
▶? 합격자 발표 : 합격자에 한해 개별 연락 예정
?
* 양식에 맞지 않는 지원은 자동 불합격 처리됩니다.
* 수집된 자료는 오디션 목적 외 다른 용도로는 사용 되지 않습니다.

?
#안테나 #오디션 #Antenna #Audition",http://www.ohtalk.net/xe/index.php?_filter=search&mid=board_ZxMh03&search_target=extra_vars3&search_keyword=%EA%B8%B0%ED%9A%8D%EC%82%AC%EC%98%A4%EB%94%94%EC%85%98&page=13&document_srl=407313,153
SM 엔터테인먼트 ONLY VOICE Vol.3 킬링파트 오디션,SM 엔터테인먼트,2003,2008,보컬,모두,2021-11-14,"ONLY VOICE
 Vol
.3 킬링파트

오직 당신의 목소리에 집중!!
?
*접수기간
- 2021년 10월 22일 ~ 11월 14일
?
*지원자격
- 2003년 이후 2008년 이전 출생 누구나
Solo 지원 (타 소속사 및 에이전시와 계약 관계가 없는 가수 지망생)
?
*지원방법
- 프로필(이름/생년월일/연락처)과 함께 킬링파트를 포함한 미션곡 영상을 카카오톡 @SM
캐스팅실로 전송
?
남자) NCT U : FROM HOME 2분 18초 ~ 3분 16초
여자) aespa : Savage 2분 32초 ~ 3분 12초
?
1.지원 영상은 무반주로, 마이크 없이 기본 카메라로 녹화
2.영상 길이 제한 없으나, 꼭 킬링파트를 포함하여 촬영
3.뒷모습 촬영도 OK
?
@SM
캐스팅실
?
-특전
* 우수 인원에 한해 SM 트레이닝 기회 제공 및 아티스트 굿즈 랜덤 증정",http://www.ohtalk.net/xe/index.php?_filter=search&mid=board_ZxMh03&search_target=extra_vars3&search_keyword=%EA%B8%B0%ED%9A%8D%EC%82%AC%EC%98%A4%EB%94%94%EC%85%98&page=13&document_srl=406531,154
2021 MLD GIRLS AUDITION,MLD 엔터테인먼트,2003,2008,"보컬,랩,댄스",여자,2021-10-31,"2021 MLD GIRLS AUDITION

[접수기간]
2021년 09월 13일 (월) 오후 12:00 ~ 2021년 10월 31일 (일) 오후 11:59 KST

[지원자격]
2008년생(14세) ~ 2003년생(19세)
여자, 국적 제한 없음

[지원분야]
보컬 / 랩 / 댄스

[접수방법]
제목 - [이름/생년/키/몸무게/연락처/거주지역]
내용 - 필터를 사용하지 않은 상반신 클로즈업&전신 사진+자유롭게 촬영한 영상
audition@mldenter.com로 메일보내기

[합격자 발표]
오디션 1차 합격자에 한해 상시 개별 연락

────────────────────────

2021 MLD GIRLS AUDITION

[APPLICATION PERIOD]
13th, September, 2021. (Mon.) 12 PM ~ 31st, October, 2021. (Sun.) 11:59 PM (KST)

[QUALIFICATION]
Born in 2008(14 years old in Korean age) ~ 2003(19 years old in Korean age)
Female, NO limitation in Nationality

[FIELD]
Singing / Rapping / Dancing

[HOW TO APPLY]
Title - [Name/The year of birth/Height/Weight/Contact number/Residence]
Contents - A close-up frontal photo & full body without any filter
+ A freely taken video of the applicant
Please mail to audition@mldenter.com

[ANNOUNCEMENT for result]
Only the ones who pass the 1st audition will be individually contacted.

────────────────────────

2021 MLD GIRLS AUDITION

[受付期間]
2021年09月13日(月) 午後12:00 ~ 2021年10月31日(日) 午後11:59 KST

[?募資格]
2008年生(14?) ~ 2003年生(19?)
女 / ?籍制限なし

[?募分野]
ボ?カル / ラップ / ダンス

[受付方法]
タイトル - [氏名/生まれ年/身長/?重/連絡先/居住地域]
?容 ? フィルタ?を使用していない上半身クロ?ズアップ＆全身の??＋自由に撮影した動?
audition@mldenter.com　にメ?ルで送信

[合格者?表]
オ?ディション1次合格者に限り、?時個別に連絡

────────────────────────

2021 MLD GIRLS AUDITION

[?名期?]
自2021年 09月 13日 （一） 11：00 至 2021年 10月 31日 （天）?上10点59分 （北京??）

[?名?格]
出生于2003年～2008年

[限制女性]
?籍无限

[?名?分]
唱歌/?唱/跳舞

[?名方法]
?? - 【姓名/生年月日/身高/?重/?系方式/地址（比如：北京）】
?容 ? 不加P，不加??的上?特? ? 全身照， ?有格式?自由地拍的照片
寄到 audition@mldenter.com

[合格者公布]
只限第一?合格者，公司?????系



#MLD엔터테인먼트
 #MLD
 #2021MLDGIRLSAUDITION
 #온라인오디션
 #걸그룹오디션
 #여자오디션
 #audition
 #캐스팅
 #casting
 #신인개발팀
 #연습생
 #모모랜드
 #MOMOLAND
 #T1419",http://www.ohtalk.net/xe/index.php?_filter=search&mid=board_ZxMh03&search_target=extra_vars3&search_keyword=%EA%B8%B0%ED%9A%8D%EC%82%AC%EC%98%A4%EB%94%94%EC%85%98&page=13&document_srl=405739,155
YG 카카오채널 10월 오디션,YG 엔터테인먼트,2002,2010,제한없음,모두,2021-10-31,"[YG 카카오채널 10월 오디션]
Who are you? 당신을 멋지게 소개해 주세요
?
1. 지원기간 : 10/6(수)~10/31(일)
?
2. 지원자격 : 2002년~2010년생 한국 거주 남녀
?
3. 지원방법
1) 카카오톡에서 'YG오디션' 검색 후 친구 맺기
2) 'YG오디션' 채널 내 채팅하기 클릭 후 지원양식에 따라 접수
?
4. 지원내용
1) 1분 이내의 자유 소개 영상 : 친구 동반 참여 가능, 동아리 및 단체&팀 소개 가능
2) 지원 시, 이름 / 생년월일 / 신장 / 체중 / 연락처 필수 기재
?
* 동아리 및 단체 지원의 경우, 심사는 개별 진행
* 지원자 얼굴이 잘 보일 수 있도록 정면 촬영 요망
?
5. 합격자 발표 : 11월 초, 개별 연락

?
?
#YG #YGAUDITION #YGONLINEAUDITION #AUDITION #AUDITIONINFORMATION #YG오디션 #YG온라인오디션 #오디션 #오디션정보",http://www.ohtalk.net/xe/index.php?_filter=search&mid=board_ZxMh03&search_target=extra_vars3&search_keyword=%EA%B8%B0%ED%9A%8D%EC%82%AC%EC%98%A4%EB%94%94%EC%85%98&page=13&document_srl=405727,156
2021 BIGHIT MUSIC GLOBAL AUDITION,BIGHIT MUSIC,2002,0,"보컬,랩,댄스,작사·작곡·프로듀서",남자,2021-12-20,"?
2021 BIGHIT MUSIC GLOBAL AUDITION
?
Play Your Music 
여러분만의 이야기를 음악으로 들려주세요!
?
? 접수 기간
2021.10.18(월) ~ 2021.12.20(월)(KST)
?
? 지원 자격
2002년 이후 남자 출생자 누구나
?
? 지원 분야
보컬, 랩, 댄스, 프로듀싱 중 1개 선택
?
? 지원 방법
오디션 홈페이지에서 '지원하기' 버튼 클릭
지원하러 가기 https://bighitaudition.com

?
Play Your Music 
Tell us your special story through music!
?
? Application Period
October 18th, 2021 (Mon) ? December 20th, 2021 (Mon)(KST)
?
? Eligibility
Any male born after 2002.
?
? Application categories
Choose one out of vocals, rap, dance, and producing.
?
? How to apply.
Click the ""Apply"" button on the audition website.
Apply here https://bighitaudition.com",http://www.ohtalk.net/xe/index.php?_filter=search&mid=board_ZxMh03&search_target=extra_vars3&search_keyword=%EA%B8%B0%ED%9A%8D%EC%82%AC%EC%98%A4%EB%94%94%EC%85%98&page=13&document_srl=405716,157
YG DM AUDITION #4,YG 엔터테인먼트,2002,2010,보컬,모두,2021-10-29,"[YG AUDITION] YG DM AUDITION #4

?
[??????????]
2021??? 10??? 4??? (???) - 10??? 29??? (금)
?
[??????????]
2002??? - 2010?????? ?????,여자 (?????? 거주자)
?
[??????????]
?????

[지정곡]
자유곡
① 팝,힙합,R&B 장르에 한함
② 무반주로 진행

자작곡
① MR,악기 사용 가능
(단, 본인 목소리가 잘 들리도록 볼륨 조절)
?
[???????????]
???????????? DM ?????
* ?????? ?? ?????, ????????????, ??????, ???????, ???????? ????
* 자유곡,자작곡 ??? 택 1???? 1분 이내 ???????? ?????? ??????
* 본인 확인이 가능하도록 얼굴이 보이게 정면에서 촬영


????????? ?????? ???????? ????? ??????????????.

?
#YG
 #YGAUDITION
 #YGDMAUDITION
 #AUDITION
 #YG???????
 #???????",http://www.ohtalk.net/xe/index.php?_filter=search&mid=board_ZxMh03&search_target=extra_vars3&search_keyword=%EA%B8%B0%ED%9A%8D%EC%82%AC%EC%98%A4%EB%94%94%EC%85%98&page=13&document_srl=403104,158
